name,key,personal_tier,platform_tier,posture,value,access,platform,personal,safety_net,override,override_personal,tags
Warner Bros. Games Montreal,wbgames,C,C,balanced,52.5,66.67,48.67,59.16,False,,,"gaming,canada"
Kabam,kabam,D,C,floor_only,41.67,66.67,42.67,52.7,False,,,"gaming,canada,data"
Eidos-Montréal,eidos,D,C,floor_only,40.17,66.67,39.07,51.75,False,,,"gaming,canada"
Co-operators,cooperators,B,C,floor_only,52.0,100.0,48.8,72.11,False,,,"insurer,canada,data"
Wawanesa,wawanesa,C,C,floor_only,43.67,80.0,43.47,59.1,False,,,"insurer,canada"
Gore Mutual,goremutual,C,D,floor_only,46.0,80.0,33.07,60.66,False,,,"insurer,canada"
iA Financial,iafinancial,C,C,floor_only,43.67,80.0,43.47,59.1,False,,,"insurer,canada"
Empire Life,empirelife,D,D,floor_only,37.67,80.0,29.07,54.89,False,,,"insurer,canada"
Equitable Life,equitablelife,D,D,floor_only,37.67,80.0,29.07,54.89,False,,,"insurer,canada"
Munich Re Canada,munichre,C,C,balanced,58.33,66.67,42.67,62.36,False,,,"insurer,toronto,quant"
Foresters Financial,foresters,D,D,floor_only,40.17,66.67,35.07,51.75,False,,,"insurer,toronto"
Canadian Tire (Data & Analytics),canadiantire,A,B,balanced,66.33,100.0,67.2,81.45,False,,,"commerce,toronto,data"
lululemon (Tech),lululemon,A,A,balanced,68.33,100.0,72.0,82.66,False,,,"commerce,canada,data"
Aritzia (Tech),aritzia,B,B,balanced,64.33,80.0,57.07,71.74,False,,,"commerce,canada,data"
Sobeys Digital (Voilà),sobeysdigital,C,C,floor_only,52.0,80.0,47.47,64.5,False,,,"commerce,canada"
Cognitive Systems,cognitivesystems,C,C,balanced,63.5,53.33,39.07,58.2,False,,,"deeptech,canada,ai"
Kepler Communications,kepler,C,C,balanced,55.17,66.67,39.07,60.64,False,,,"deeptech,toronto"
MDA Space,mda,B,B,floor_only,54.5,86.67,58.8,68.73,False,,,"deeptech,canada,robotics"
Semantic Health,semantichealth,C,D,worth_forcing,70.17,46.67,33.73,57.22,False,,,"health,toronto,ai"
PhenoTips,phenotips,D,D,balanced,63.5,46.67,33.73,54.44,False,,,"health,toronto,data"
Novari Health,novari,D,D,balanced,52.67,46.67,23.73,49.58,False,,,"health,canada"
Cortico Health,cortico,C,D,worth_forcing,67.67,46.67,27.73,56.19,False,,,"health,toronto,ai"
ProteinQure,proteinqure,D,D,worth_forcing,71.83,33.33,37.73,48.93,False,,,"health,toronto,ai"
TELUS Health,telushealth,A,A,balanced,68.83,100.0,73.2,82.97,False,,,"health,canada,data"
MedMe Health,medme,C,D,worth_forcing,67.67,46.67,27.73,56.19,False,,,"health,toronto"
Rocket Doctor,rocketdoctor,D,D,balanced,61.83,46.67,29.73,53.72,False,,,"health,toronto"
Flinks,flinks,B,C,balanced,69.5,80.0,53.47,74.57,False,,,"fintech,canada,data"
Arteria AI,arteriaai,C,D,balanced,70.17,60.0,33.73,64.88,False,,,"fintech,toronto,ai"
FreshBooks,freshbooks,A,B,balanced,69.5,100.0,58.8,83.37,False,,,"fintech,toronto,saas"
Moneris,moneris,A,B,floor_only,58.0,100.0,63.2,76.16,False,,,"fintech,toronto"
Symcor,symcor,C,D,floor_only,46.0,93.33,29.07,65.52,False,,,"fintech,toronto,data"
Nest Wealth,nestwealth,D,D,balanced,61.0,46.67,27.73,53.35,False,,,"fintech,toronto"
Conquest Planning,conquest,C,D,balanced,63.5,60.0,33.73,61.73,False,,,"fintech,canada,ai"
Brim Financial,brim,C,D,balanced,70.17,60.0,33.73,64.88,False,,,"fintech,toronto"
Relay,relayfi,C,D,worth_forcing,70.17,46.67,33.73,57.22,False,,,"fintech,toronto"
Loop,loopfin,C,D,worth_forcing,67.67,46.67,27.73,56.19,False,,,"fintech,toronto"
Caary,caary,D,D,balanced,59.33,46.67,23.73,52.62,False,,,"fintech,toronto"
nesto,nesto,C,D,balanced,61.0,60.0,27.73,60.5,False,,,"fintech,canada"
Ratehub,ratehub,C,C,balanced,58.67,60.0,38.13,59.33,False,,,"fintech,toronto"
